date,text,favorites,retweets
1992-11-15,row.. such a simple word,0,0
2000-03-22,Last class of fall semester hell yeahh,0,0
2009-03-13,Wishes it would get WARM,0,0
2009-06-02,"Download the new #trvsdjam mixtape ""Fix Your Face Vol. 2 - Coachella 09"" in exchange for one tweet! http://twitter.trvsdjam.com",0,0
2009-09-06,im a faggot,0,0
2010-09-01,#blackandyellow #blackandyellow #blackandyellow #blackandyellow,0,0
2010-09-16,I hate when people never answer texts but i do it everyday.,0,0
2010-09-23,oh nooo facebook is broke what do we do,0,0
2010-09-28,#dabears#dabears#dabears,0,0
2010-10-13,Pockets are so useful and neccessary,0,0
2010-10-13,I love a good song. Rare nowadays,0,0
2010-10-16,Love being the only guy in an all girl h+m,0,0
2010-10-20,Every single girl in the row in front of me is wearing a black northface.,0,0
2010-10-28,Just saw a guy wearing rainboots...,0,0
2010-11-15,Bitch why you sit right next to me,0,0
2010-11-19,She got a donkkk,0,0
2010-11-19,I hate witnessing couples fight.,0,0
2010-11-22,49,0,0
2010-11-25,Tweeting at thanksgiving table LOL,0,1
2010-11-25,Awesome ends with ME,0,0
2010-11-26,I think my grandma loves her cell phone more than me.,0,0
2010-11-28,Intexticated,0,0
2010-11-29,You know what? I gotta thank yeezy,0,0
2010-11-30,The kid who sits in front of me in this class always wears weird hats.,0,0
2010-12-02,#bignutbust,0,0
2010-12-02,apple and oj for breakfast..wish it was kush and oj LOL,0,0
2010-12-03,"""Today is one of has to be one of best friends of my life""",0,0
2010-12-06,so bored i might actually go to environmental today..,0,0
2010-12-06,"mm jacket smells like weed and cigarettes, awesome",0,0
2010-12-06,Whyy can I never sleep,0,0
2010-12-07,#nogenre  #nogenre  #nogenre  #nogenre,0,0
2010-12-08,Idc about anything this teacher is talking about #justsayin,0,0
2010-12-08,F you happy couple in front of me in this class. LOL,0,0
2010-12-10,"All black Lamborghini, smokin on the sticky 
Got a couple dollars, now this nigga think he ricky",0,0
2010-12-10,Longest bus ride of my lifeee,0,0
2010-12-11,#imstillhere,0,0
2010-12-11,"I have lost my grandpa and a very close friend to death,lost my best friend 3000 miles away,and lost my girlfriend of 2 years..all this year",0,0
2010-12-11,Don't look down.,0,0
2010-12-11,i miss better days.,0,0
2010-12-11,#ifsantawasblack provokes some racist shittt lol,0,0
2010-12-11,there is a certain mood where I appreciate and enjoy every song that comes on yet sometimes ill skip 75% of them,0,0
